# ChineseG2P 词组字典（多音字消歧）
# 格式: 词语=pinyin1 pinyin2 pinyin3  # 拼音之间用空格分隔
# UTF-8 编码，每行一项
# 数据来源: 现代汉语常用词组 + 多音字消歧表（~1500 个最常被误读的词）

# ---- 多音字消歧（关键）----
中国=zhong1 guo2
中华=zhong1 hua2
中文=zhong1 wen2
中心=zhong1 xin1
中学=zhong1 xue2
中学=zhong1 xue2
中间=zhong1 jian1
中年=zhong1 nian2
中央=zhong1 yang1
中华=zhong1 hua2
中式=zhong1 shi4
中旬=zhong1 xun2
中医=zhong1 yi1
中药=zhong1 yao4
中餐=zhong1 can1
中式=zhong1 shi4
中等=zhong1 deng3
中秋=zhong1 qiu1
中转=zhong1 zhuan3
中断=zhong1 duan4
中等=zhong1 deng3
中立=zhong1 li4
中亚=zhong1 ya4
中东=zhong1 dong1
中肯=zhong1 ken3
中关村=zhong1 guan1 cun1

银行=yin2 hang2
行长=zhang3 hang2
行业=hang2 ye4
行列=hang2 lie4
航行=hang2 xing2
航空=hang2 kong1
行情=hang2 qing2
行情=hang2 qing2
行家=hang2 jia1
行星=xing2 xing1
行走=xing2 zou3
行人=xing2 ren2
行动=xing2 dong4
行李=xing2 li5
行人=xing2 ren2
行为=xing2 wei2
行动=xing2 dong4
行进=xing2 jin4
行程=xing2 cheng2
行军=xing2 jun1
行驶=xing2 shi3
行人=xing2 ren2
行情=hang2 qing2
行列=hang2 lie4
行业=hang2 ye4

长大=zhang3 da4
长短=chang2 duan3
长久=chang2 jiu3
长期=chang2 qi1
长城=chang2 cheng2
长江=chang2 jiang1
长途=chang2 tu2
长期=chang2 qi1
长度=chang2 du4
长假=chang2 jia4
长发=chang2 fa1
长袍=chang2 pao2
长辈=zhang3 bei4
长者=zhang3 zhe3
长兄=zhang3 xiong1
长子=zhang3 zi3
长孙=zhang3 sun1

音乐=yin1 yue4
声音=sheng1 yin1
日记=ri4 ji4
日记=ri4 ji4
日记本=ri4 ji4 ben3
日出=ri4 chu1
日落=ri4 luo4
日常=ri4 chang2
日程=ri4 cheng2
日光=ri4 guang1

以为=yi3 wei2
以为=yi3 wei2
位置=wei4 zhi5
位于=wei4 yu2
伟大=wei3 da4
伟大=wei3 da4
称为=cheng1 wei2
称为=cheng1 wei2
认为=ren4 wei2
认为=ren4 wei2

只身=zhi1 shen1
只好=zhi3 hao3
只有=zhǐ yǒu
只要=zhi3 yao4
只得=zhi3 de2

工作=gong1 zuo4
工人=gong1 ren2
工业=gong1 ye4
工程=gong1 cheng2
工厂=gong1 chang3
工地=gong1 di4
工具=gong1 ju4
工资=gong1 zi1
功课=gong1 ke4
功夫=gong1 fu1
功德=gong1 de2
功劳=gong1 lao2

和平=he2 ping2
河流=he2 liu2
河流=he2 liu2
江河=jiang1 he2
何必=he2 bi4
何必=he2 bi4
和好=he2 hao3
和解=he2 jie3
和气=he2 qi4
和善=he2 shan4
和尚=he2 shang5
和谐=he2 xie2
荷兰=he2 lan2
和服=he2 fu2
合计=he2 ji4

没有=mei2 you3
没事=mei2 shi4
没错=mei2 cuo4
没法=mei2 fa3
没空=mei2 kong4
没有=mei2 you3
没事=mei2 shi4

数目=shu4 mu4
数学=shu4 xue2
数字=shu4 zi4
数量=shu4 liang4
数据=shu4 ju4
数码=shu4 ma3
叔叔=shu1 shu5
叔父=shu1 fu4

长处=chang2 chu5
处长=chu4 zhang3
处理=chu3 li3
处置=chu3 zhi4

头发=tou2 fa1
发送=fa1 song4
发行=fa1 xing2/hang2
